6.520699 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.521393 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.521606 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.521763 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.521919 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.522060 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.522202 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.524052 [mod=WIFI, lvl=WARN] [tid=817] WIFI CosaDmlWiFi_GetGoodRssiThresholdValue : Calling PSM Get
6.524197 [mod=WIFI, lvl=WARN] [tid=817] WIFI CosaDmlWiFi_GetAssocCountThresholdValue : Calling PSM Get
6.524338 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetAssocCountThresholdValue Failed to get PSM
6.524345 [mod=WIFI, lvl=WARN] [tid=817] WIFI CosaDmlWiFi_GetAssocMonitorDurationValue : Calling PSM Get
6.524487 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetAssocMonitorDurationValue Failed to get PSM
6.524555 [mod=WIFI, lvl=WARN] [tid=817] WIFI CosaDmlWiFi_GetAssocGateTimeValue : Calling PSM Get
6.524700 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetAssocGateTimeValue Failed to get PSM
6.524837 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetWiFiReservedSSIDNames Failed to get PSM
6.524879 [mod=WIFI, lvl=WARN] [tid=817] WIFI CosaDmlWiFi_GetFeatureMFPConfigValue : Calling PSM Get
6.525028 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetFeatureMFPConfigValue Failed to get PSM
6.525043 [mod=WIFI, lvl=WARN] [tid=817] CosaDmlWiFi_GetRapidReconnectIndicationEnable : Calling PSM Get
6.525204 [mod=WIFI, lvl=INFO] [tid=817] CosaDmlWiFi_GetRapidReconnectIndicationEnable Failed to get PSM
6.526409 [mod=WIFI, lvl=WARN] [tid=817] CosaWiFiInitializeParmUpdateSource: WiFiRegionCode = USI
6.526417 [mod=WIFI, lvl=WARN] [tid=817] CosaWifiInitialize - Get Radio Info ...
6.526474 [mod=WIFI, lvl=INFO] [tid=817]  In CosaDmlWiFiRadioGetCfg wlanIndex : 0
6.526493 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiRadioGetCfg Input radioIndex = 0 Band=0 is  not found in capability
6.526501 [mod=WIFI, lvl=INFO] [tid=817]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 0
6.526508 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 0 Band=0 is  not found in capability
6.526897 [mod=WIFI, lvl=INFO] [tid=817]  In CosaDmlWiFiRadioGetCfg wlanIndex : 1
6.526913 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiRadioGetCfg Input radioIndex = 1 Band=0 is  not found in capability
6.526917 [mod=WIFI, lvl=INFO] [tid=817]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 1
6.526924 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 1 Band=0 is  not found in capability
6.527302 [mod=WIFI, lvl=INFO] [tid=817]  In CosaDmlWiFiRadioGetCfg wlanIndex : 2
6.527313 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiRadioGetCfg Input radioIndex = 2 Band=0 is  not found in capability
6.527317 [mod=WIFI, lvl=INFO] [tid=817]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 2
6.527325 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 2 Band=0 is  not found in capability
6.527973 [mod=WIFI, lvl=WARN] [tid=817] CosaWifiInitialize - Initialize middle layer ...
6.527985 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 0 not found 
6.528004 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:0
6.528015 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 0 not found 
6.528019 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:0
6.528023 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 0 not found 
6.528027 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:0
6.528042 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 1 not found 
6.528049 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:1
6.528057 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 1 not found 
6.528061 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:1
6.528065 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 1 not found 
6.528069 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:1
6.528080 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 2 not found 
