6.340168 [mod=WIFI, lvl=INFO] [tid=695] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.340321 [mod=WIFI, lvl=INFO] [tid=695] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.340466 [mod=WIFI, lvl=INFO] [tid=695] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.340611 [mod=WIFI, lvl=INFO] [tid=695] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.341095 [mod=WIFI, lvl=ERROR] [tid=695]  parodus url is not present in device.properties file, adding default parodus_url
6.342445 [mod=WIFI, lvl=WARN] [tid=695] WIFI CosaDmlWiFi_GetGoodRssiThresholdValue : Calling PSM Get
6.342609 [mod=WIFI, lvl=WARN] [tid=695] WIFI CosaDmlWiFi_GetAssocCountThresholdValue : Calling PSM Get
6.342766 [mod=WIFI, lvl=INFO] [tid=695] CosaDmlWiFi_GetAssocCountThresholdValue Failed to get PSM
6.342773 [mod=WIFI, lvl=WARN] [tid=695] WIFI CosaDmlWiFi_GetAssocMonitorDurationValue : Calling PSM Get
6.342922 [mod=WIFI, lvl=INFO] [tid=695] CosaDmlWiFi_GetAssocMonitorDurationValue Failed to get PSM
6.342934 [mod=WIFI, lvl=WARN] [tid=695] WIFI CosaDmlWiFi_GetAssocGateTimeValue : Calling PSM Get
6.343079 [mod=WIFI, lvl=INFO] [tid=695] CosaDmlWiFi_GetAssocGateTimeValue Failed to get PSM
6.343224 [mod=WIFI, lvl=INFO] [tid=695] CosaDmlWiFi_GetWiFiReservedSSIDNames Failed to get PSM
6.343254 [mod=WIFI, lvl=WARN] [tid=695] WIFI CosaDmlWiFi_GetFeatureMFPConfigValue : Calling PSM Get
6.343407 [mod=WIFI, lvl=INFO] [tid=695] CosaDmlWiFi_GetFeatureMFPConfigValue Failed to get PSM
6.343414 [mod=WIFI, lvl=WARN] [tid=695] CosaDmlWiFi_GetRapidReconnectIndicationEnable : Calling PSM Get
6.343563 [mod=WIFI, lvl=INFO] [tid=695] CosaDmlWiFi_GetRapidReconnectIndicationEnable Failed to get PSM
6.344917 [mod=WIFI, lvl=WARN] [tid=695] CosaWiFiInitializeParmUpdateSource: WiFiRegionCode = USI
6.344921 [mod=WIFI, lvl=WARN] [tid=695] CosaWifiInitialize - Get Radio Info ...
6.344971 [mod=WIFI, lvl=INFO] [tid=695]  In CosaDmlWiFiRadioGetCfg wlanIndex : 0
6.345005 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiRadioGetCfg Input radioIndex = 0 Band=0 is  not found in capability
6.345013 [mod=WIFI, lvl=INFO] [tid=695]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 0
6.345024 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 0 Band=0 is  not found in capability
