6.337200 [mod=WIFI, lvl=INFO] [tid=728] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.337330 [mod=WIFI, lvl=INFO] [tid=728] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.337463 [mod=WIFI, lvl=INFO] [tid=728] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.337593 [mod=WIFI, lvl=INFO] [tid=728] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.338062 [mod=WIFI, lvl=ERROR] [tid=728]  parodus url is not present in device.properties file, adding default parodus_url
6.339390 [mod=WIFI, lvl=WARN] [tid=728] WIFI CosaDmlWiFi_GetGoodRssiThresholdValue : Calling PSM Get
6.339535 [mod=WIFI, lvl=WARN] [tid=728] WIFI CosaDmlWiFi_GetAssocCountThresholdValue : Calling PSM Get
6.339680 [mod=WIFI, lvl=INFO] [tid=728] CosaDmlWiFi_GetAssocCountThresholdValue Failed to get PSM
6.339691 [mod=WIFI, lvl=WARN] [tid=728] WIFI CosaDmlWiFi_GetAssocMonitorDurationValue : Calling PSM Get
6.339825 [mod=WIFI, lvl=INFO] [tid=728] CosaDmlWiFi_GetAssocMonitorDurationValue Failed to get PSM
6.339832 [mod=WIFI, lvl=WARN] [tid=728] WIFI CosaDmlWiFi_GetAssocGateTimeValue : Calling PSM Get
6.339966 [mod=WIFI, lvl=INFO] [tid=728] CosaDmlWiFi_GetAssocGateTimeValue Failed to get PSM
6.340115 [mod=WIFI, lvl=INFO] [tid=728] CosaDmlWiFi_GetWiFiReservedSSIDNames Failed to get PSM
6.340149 [mod=WIFI, lvl=WARN] [tid=728] WIFI CosaDmlWiFi_GetFeatureMFPConfigValue : Calling PSM Get
6.340298 [mod=WIFI, lvl=INFO] [tid=728] CosaDmlWiFi_GetFeatureMFPConfigValue Failed to get PSM
6.340309 [mod=WIFI, lvl=WARN] [tid=728] CosaDmlWiFi_GetRapidReconnectIndicationEnable : Calling PSM Get
6.340443 [mod=WIFI, lvl=INFO] [tid=728] CosaDmlWiFi_GetRapidReconnectIndicationEnable Failed to get PSM
6.341587 [mod=WIFI, lvl=WARN] [tid=728] CosaWiFiInitializeParmUpdateSource: WiFiRegionCode = USI
6.341595 [mod=WIFI, lvl=WARN] [tid=728] CosaWifiInitialize - Get Radio Info ...
6.341644 [mod=WIFI, lvl=INFO] [tid=728]  In CosaDmlWiFiRadioGetCfg wlanIndex : 0
6.341663 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiRadioGetCfg Input radioIndex = 0 Band=0 is  not found in capability
6.341671 [mod=WIFI, lvl=INFO] [tid=728]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 0
6.341679 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 0 Band=0 is  not found in capability
6.342072 [mod=WIFI, lvl=INFO] [tid=728]  In CosaDmlWiFiRadioGetCfg wlanIndex : 1
6.342083 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiRadioGetCfg Input radioIndex = 1 Band=0 is  not found in capability
6.342091 [mod=WIFI, lvl=INFO] [tid=728]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 1
6.342098 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 1 Band=0 is  not found in capability
6.342472 [mod=WIFI, lvl=INFO] [tid=728]  In CosaDmlWiFiRadioGetCfg wlanIndex : 2
6.342484 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiRadioGetCfg Input radioIndex = 2 Band=0 is  not found in capability
6.342487 [mod=WIFI, lvl=INFO] [tid=728]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 2
6.342499 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 2 Band=0 is  not found in capability
6.343143 [mod=WIFI, lvl=WARN] [tid=728] CosaWifiInitialize - Initialize middle layer ...
6.343166 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 0 not found 
6.343174 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:0
6.343197 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 0 not found 
6.343204 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:0
6.343208 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 0 not found 
6.343216 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:0
6.343227 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 1 not found 
6.343235 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:1
6.343239 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 1 not found 
6.343246 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:1
6.343250 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 1 not found 
6.343254 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:1
6.343262 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 2 not found 
6.343266 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:2
6.343273 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 2 not found 
6.343277 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:2
6.343285 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 2 not found 
6.343288 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:2
6.343296 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 3 not found 
6.343300 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:3
6.343304 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 3 not found 
6.343311 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:3
6.343315 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 3 not found 
6.343319 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:3
6.343327 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 4 not found 
6.343330 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:4
6.343338 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 4 not found 
6.343346 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:4
6.343349 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 4 not found 
6.343353 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:4
6.343361 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 5 not found 
6.343365 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:5
6.343372 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 5 not found 
6.343376 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:5
6.343380 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 5 not found 
6.343388 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:5
6.343391 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 6 not found 
6.343399 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:6
6.343403 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 6 not found 
6.343410 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:6
6.343414 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 6 not found 
6.343418 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:6
6.343426 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 7 not found 
6.343430 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:7
6.343437 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 7 not found 
6.343441 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:7
6.343445 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 7 not found 
6.343449 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:7
6.343456 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 8 not found 
6.343460 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:8
6.343468 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 8 not found 
6.343472 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:8
6.343479 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 8 not found 
6.343483 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:8
6.343491 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 9 not found 
6.343494 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:9
6.343502 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 9 not found 
6.343506 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:9
6.343510 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 9 not found 
6.343513 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:9
6.343521 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 10 not found 
6.343529 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:10
6.343533 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 10 not found 
6.343540 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:10
6.343544 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 10 not found 
6.343552 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:10
6.343555 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 11 not found 
6.343563 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:11
6.343567 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 11 not found 
6.343575 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:11
6.343578 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 11 not found 
6.343582 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:11
6.343590 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 12 not found 
6.343594 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:12
6.343601 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 12 not found 
6.343605 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:12
6.343609 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 12 not found 
6.343616 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:12
6.343620 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 13 not found 
6.343628 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:13
6.343632 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 13 not found 
6.343636 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:13
6.343643 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 13 not found 
6.343647 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:13
6.343655 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 14 not found 
6.343658 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:14
6.343666 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 14 not found 
6.343670 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:14
6.343674 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 14 not found 
6.343678 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:14
6.343685 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 15 not found 
6.343689 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:15
6.343697 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 15 not found 
6.343700 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:15
6.343708 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 15 not found 
6.343712 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:15
6.343719 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 16 not found 
6.343723 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:16
6.343731 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 16 not found 
6.343735 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:16
6.343739 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 16 not found 
6.343742 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:16
6.343754 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 17 not found 
6.343758 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:17
6.343765 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 17 not found 
6.343769 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:17
6.343773 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 17 not found 
6.343777 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:17
6.343784 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 18 not found 
6.343792 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:18
6.343796 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 18 not found 
6.343800 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:18
6.343807 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 18 not found 
6.343811 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:18
6.343819 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 19 not found 
6.343822 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:19
6.343830 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 19 not found 
6.343834 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:19
6.343838 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 19 not found 
6.343842 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:19
6.343849 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 20 not found 
6.343853 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:20
6.343861 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 20 not found 
6.343864 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:20
6.343872 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 20 not found 
6.343876 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:20
6.343880 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 21 not found 
6.343887 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:21
6.343891 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 21 not found 
6.343899 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:21
6.343903 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 21 not found 
6.343906 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:21
6.343914 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 22 not found 
6.343922 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:22
6.343925 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 22 not found 
6.343933 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:22
6.343937 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 22 not found 
6.343941 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:22
6.343948 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 23 not found 
6.343952 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:23
6.343960 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 23 not found 
6.343964 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:23
6.343971 [mod=WIFI, lvl=ERROR] [tid=728]  getVapInfo Input apIndex = 23 not found 
6.343975 [mod=WIFI, lvl=ERROR] [tid=728]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:23
6.343987 [mod=WIFI, lvl=ERROR] [tid=728] WIFI rdkGetIndexFromName : pIfaceName :  is not found
6.343994 [mod=WIFI, lvl=ERROR] [tid=728] WIFI CosaDmlWiFiApGetCfg : Couldn't find wlanIndex from IfName 
6.344009 [mod=WIFI, lvl=INFO] [tid=728] rbuscore.c:2340 RBus Enabled

6.344017 [mod=WIFI, lvl=INFO] [tid=728] rbus.c:2778 rbus open for component: t2_lib_ccsp-wifi-agent

6.344063 [mod=WIFI, lvl=INFO] [tid=728] rbus.c:2854  rbus open (t2_lib_ccsp-wifi-agent) success

