2.118034 [mod=ETHAGENT, lvl=INFO] [tid=741] 
After daemonize before signal
2.118107 [mod=ETHAGENT, lvl=WARN] [tid=741] Core dump is opened, do not catch signal
2.118118 [mod=ETHAGENT, lvl=INFO] [tid=741] 
before cmd_dispatch command
2.118122 [mod=ETHAGENT, lvl=INFO] [tid=741] Connect to bus daemon...
2.118149 [mod=ETHAGENT, lvl=INFO] [tid=741] rbuscore.c:2340 RBus Enabled

2.118160 [mod=ETHAGENT, lvl=INFO] [tid=741] rbuscore.c:656 Broker address: unix:///tmp/rtrouted

2.118282 [mod=ETHAGENT, lvl=INFO] [tid=741] connection opened for eRT.com.cisco.spvtg.ccsp.ethagent
2.118301 [mod=ETHAGENT, lvl=INFO] [tid=741] INFO: bus_handle: 0x0x8263d90 
3.119274 [mod=ETHAGENT, lvl=INFO] [tid=741] CcspBaseIf_Register_Event_rbus : rbus_registerEvent called for event: currentSessionIDSignal
3.119560 [mod=ETHAGENT, lvl=INFO] [tid=741] rbuscore.c:755 Subscription for _rbus_session_mgr::currentSessionIDSignal is now active.

3.119869 [mod=ETHAGENT, lvl=WARN] [tid=741] Register empty object : com.
3.119884 [mod=ETHAGENT, lvl=WARN] [tid=741] Register empty object : com.cisco.
3.119892 [mod=ETHAGENT, lvl=WARN] [tid=741] Register empty object : com.cisco.spvtg.
3.119900 [mod=ETHAGENT, lvl=WARN] [tid=741] Register empty object : com.cisco.spvtg.ccsp.
3.120258 [mod=ETHAGENT, lvl=WARN] [tid=741] DM Library module name = CCSP Base Data Model
3.120804 [mod=ETHAGENT, lvl=WARN] [tid=741] CosaEthernetInitialize Ethernet_Logger_Thread Created
3.123280 [mod=ETHAGENT, lvl=ERROR] [tid=741] Failed to dynamically get dmsb.ethagent.ethifcount. using fallback hardcoded value instead
3.124340 [mod=ETHAGENT, lvl=ERROR] [tid=741] Failed to get dmsb.ethagent.if.1.Name
3.126606 [mod=ETHAGENT, lvl=ERROR] [tid=741] Failed to get dmsb.ethagent.if.2.Name
3.126984 [mod=ETHAGENT, lvl=ERROR] [tid=741] Failed to get dmsb.ethagent.if.3.Name
3.128632 [mod=ETHAGENT, lvl=ERROR] [tid=741] Failed to get dmsb.ethagent.if.4.Name
3.136139 [mod=ETHAGENT, lvl=ERROR] [tid=741] Failed to dynamically get dmsb.ethagent.if.1.Name. using hardcoded fallback option
3.141819 [mod=ETHAGENT, lvl=ERROR] [tid=741] Failed to dynamically get dmsb.ethagent.if.2.Name. using hardcoded fallback option
3.142254 [mod=ETHAGENT, lvl=ERROR] [tid=741] Failed to dynamically get dmsb.ethagent.if.3.Name. using hardcoded fallback option
3.142708 [mod=ETHAGENT, lvl=ERROR] [tid=741] Failed to dynamically get dmsb.ethagent.if.4.Name. using hardcoded fallback option
