4.138905 [mod=ETHAGENT, lvl=INFO] [tid=1352] CosaDmlEthGetLowerLayersInstanceInOtherAgent 4420 - TotalNoofEntries:2
4.139080 [mod=ETHAGENT, lvl=WARN] [tid=1352] CosaDmlEthGetParamValues parameterValue[lbr0]
4.139244 [mod=ETHAGENT, lvl=WARN] [tid=1352] CosaDmlEthGetParamValues parameterValue[eth0]
4.139256 [mod=ETHAGENT, lvl=INFO] [tid=1352] CosaDmlEthSetPhyStatusForWanManager 4672 WAN Instance:2
4.139507 [mod=ETHAGENT, lvl=INFO] [tid=1352] Value being set [100] 
4.139694 [mod=ETHAGENT, lvl=INFO] [tid=1352] Value being set [100] 
4.139702 [mod=ETHAGENT, lvl=INFO] [tid=1352] CosaDmlEthSetPhyStatusForWanManager 4708 Successfully notified Up event to WAN Manager for eth0 interface
7.137440 [mod=ETHAGENT, lvl=WARN] [tid=764] DslhObjcoValidate: X_RDKCENTRAL-COM_EthHost_Sync, bsUpdate = 3

7.137493 [mod=ETHAGENT, lvl=INFO] [tid=764] Ethernet_Hosts_Sync-792 Sync With LMLite
