6.353691 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.353825 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.353958 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.354156 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.354294 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.354431 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.354561 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetRapidReconnectThresholdValue Failed to get PSM
6.356308 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFi_GetGoodRssiThresholdValue : Calling PSM Get
6.356544 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFi_GetAssocCountThresholdValue : Calling PSM Get
6.356689 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetAssocCountThresholdValue Failed to get PSM
6.356697 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFi_GetAssocMonitorDurationValue : Calling PSM Get
6.356834 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetAssocMonitorDurationValue Failed to get PSM
6.356842 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFi_GetAssocGateTimeValue : Calling PSM Get
6.356976 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetAssocGateTimeValue Failed to get PSM
6.357101 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetWiFiReservedSSIDNames Failed to get PSM
6.357136 [mod=WIFI, lvl=WARN] [tid=733] WIFI CosaDmlWiFi_GetFeatureMFPConfigValue : Calling PSM Get
6.357273 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetFeatureMFPConfigValue Failed to get PSM
6.357292 [mod=WIFI, lvl=WARN] [tid=733] CosaDmlWiFi_GetRapidReconnectIndicationEnable : Calling PSM Get
6.357426 [mod=WIFI, lvl=INFO] [tid=733] CosaDmlWiFi_GetRapidReconnectIndicationEnable Failed to get PSM
6.358738 [mod=WIFI, lvl=WARN] [tid=733] CosaWiFiInitializeParmUpdateSource: WiFiRegionCode = USI
6.358749 [mod=WIFI, lvl=WARN] [tid=733] CosaWifiInitialize - Get Radio Info ...
6.358795 [mod=WIFI, lvl=INFO] [tid=733]  In CosaDmlWiFiRadioGetCfg wlanIndex : 0
6.358814 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiRadioGetCfg Input radioIndex = 0 Band=0 is  not found in capability
6.358822 [mod=WIFI, lvl=INFO] [tid=733]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 0
6.358829 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 0 Band=0 is  not found in capability
6.359226 [mod=WIFI, lvl=INFO] [tid=733]  In CosaDmlWiFiRadioGetCfg wlanIndex : 1
6.359238 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiRadioGetCfg Input radioIndex = 1 Band=0 is  not found in capability
6.359245 [mod=WIFI, lvl=INFO] [tid=733]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 1
6.359253 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 1 Band=0 is  not found in capability
6.359631 [mod=WIFI, lvl=INFO] [tid=733]  In CosaDmlWiFiRadioGetCfg wlanIndex : 2
6.359642 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiRadioGetCfg Input radioIndex = 2 Band=0 is  not found in capability
6.359646 [mod=WIFI, lvl=INFO] [tid=733]  In CosaDmlWiFiRadioGetSinfo wlanIndex : 2
6.359653 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiRadioGetSinfo Input radioIndex = 2 Band=0 is  not found in capability
6.360298 [mod=WIFI, lvl=WARN] [tid=733] CosaWifiInitialize - Initialize middle layer ...
6.360310 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 0 not found 
6.360325 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:0
6.360332 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 0 not found 
6.360340 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:0
6.360344 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 0 not found 
6.360348 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:0
6.360363 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 1 not found 
6.360371 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:1
6.360374 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 1 not found 
6.360382 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:1
6.360386 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 1 not found 
6.360390 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:1
6.360397 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 2 not found 
6.360405 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:2
6.360409 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 2 not found 
