2.116714 [mod=WIFI, lvl=WARN] [tid=719] 
Subsystem is eRT.
2.117031 [mod=WIFI, lvl=WARN] [tid=726] Core dump is opened, do not catch signal
2.117062 [mod=WIFI, lvl=INFO] [tid=726] Connect to bus daemon...
2.117092 [mod=WIFI, lvl=INFO] [tid=726] rbuscore.c:2340 RBus Enabled

2.117123 [mod=WIFI, lvl=INFO] [tid=726] rbuscore.c:656 Broker address: unix:///tmp/rtrouted

2.117428 [mod=WIFI, lvl=INFO] [tid=726] connection opened for eRT.com.cisco.spvtg.ccsp.wifi
2.117485 [mod=WIFI, lvl=INFO] [tid=726] rbuscore.c:939 Registering method table for object eRT.com.cisco.spvtg.ccsp.wifi

2.117516 [mod=WIFI, lvl=INFO] [tid=726] eRT.com.cisco.spvtg.ccsp.wifi start to check eRT.com.cisco.spvtg.ccsp.psm status
2.117683 [mod=WIFI, lvl=INFO] [tid=726] eRT.com.cisco.spvtg.ccsp.psm is ready, eRT.com.cisco.spvtg.ccsp.wifi continue
2.117691 [mod=WIFI, lvl=INFO] [tid=726] !!! Connected to message bus... bus_handle: 0x0x951c610 !!!
3.118641 [mod=WIFI, lvl=INFO] [tid=726] CcspBaseIf_Register_Event_rbus : rbus_registerEvent called for event: currentSessionIDSignal
3.118824 [mod=WIFI, lvl=INFO] [tid=726] rbuscore.c:755 Subscription for _rbus_session_mgr::currentSessionIDSignal is now active.

3.118938 [mod=WIFI, lvl=WARN] [tid=726] Register empty object : com.
3.118950 [mod=WIFI, lvl=WARN] [tid=726] Register empty object : com.cisco.
3.118961 [mod=WIFI, lvl=WARN] [tid=726] Register empty object : com.cisco.spvtg.
3.118969 [mod=WIFI, lvl=WARN] [tid=726] Register empty object : com.cisco.spvtg.ccsp.
3.119080 [mod=WIFI, lvl=WARN] [tid=726] DM Library module name = CCSP Base Data Model
3.119896 [mod=WIFI, lvl=WARN] [tid=726] DM Library module name = COSA_TR181_WiFi_USGv2
3.119911 [mod=WIFI, lvl=WARN] [tid=726] Loading DM library libwifi.so...
3.123291 [mod=WIFI, lvl=WARN] [tid=726]  RDKB_SYSTEM_BOOT_UP_LOG : CosaWifiInitialize - WiFi initialize. 
3.215687 [mod=WIFI, lvl=INFO] [tid=726] WIFI m_wifi_init : Notify Mesh of wifi_init
3.219315 [mod=WIFI, lvl=WARN] [tid=726] WIFI CosaDmlWiFiGetFactoryResetPsmData 
3.219326 [mod=WIFI, lvl=WARN] [tid=726] WIFI CosaDmlWiFiGetFactoryResetPsmData :Calling PSM GET to get FactoryReset flag value
3.219742 [mod=WIFI, lvl=WARN] [tid=726] WIFI CosaDmlWiFiGetFactoryResetPsmData :PSM GET Success eRT.com.cisco.spvtg.ccsp.tr181pa.Device.WiFi.FactoryReset = 0 
3.219753 [mod=WIFI, lvl=WARN] [tid=726] WIFI CosaDmlWiFiGetFactoryResetPsmData : Returning Success 
6.220749 [mod=WIFI, lvl=INFO] [tid=726]  rdkWifiConfigInit wifi_getRadioOperatingParameters radio_index 0 returned enable 0
6.221672 [mod=WIFI, lvl=INFO] [tid=726]  rdkWifiConfigInit Calling wifi_setRadioOperatingParameters radioIndex=0 enable=0
